Contract,total_customers,churned_customers,retained_customers,total_mrr,mrr_at_risk,avg_monthly_charges,avg_tenure,churn_rate,retention_rate,pct_of_total_mrr_risk
Month-to-month,3875,1655,2220,257294.15,120847.1,66.39849032258064,18.036645161290323,0.4270967741935484,0.5729032258064516,0.8685859390638383
One year,1473,166,1307,95816.6,14118.45,65.04860828241684,42.044806517311606,0.11269517990495587,0.8873048200950441,0.1014760565323938
Two year,1695,48,1647,103005.85,4165.3,60.770412979351036,56.73510324483776,0.02831858407079646,0.9716814159292035,0.029938004403768113
