tenure_band,total_customers,churned_customers,retained_customers,total_mrr,mrr_at_risk,avg_monthly_charges,churn_rate,retention_rate,pct_of_total_mrr_risk
0-6 Months,1481,784,697,81067.95,49896.1,54.738656313301824,0.5293720459149224,0.4706279540850776,0.3586271484721038
7-12 Months,705,253,452,41561.8,19058.15,58.95290780141844,0.3588652482269504,0.6411347517730497,0.13698004432518024
13-24 Months,1024,294,730,62829.85,23081.65,61.357275390625,0.287109375,0.712890625,0.16589886427057698
25-36 Months,832,180,652,54558.8,15167.95,65.57548076923078,0.21634615384615385,0.7836538461538461,0.10901931527048102
37-48 Months,762,145,617,50534.5,12294.55,66.31824146981627,0.19028871391076116,0.8097112860892388,0.08836681440528826
49-60 Months,832,120,712,58698.25,10581.9,70.55078125,0.14423076923076922,0.8557692307692307,0.07605717926685564
60+ Months,1407,93,1314,106865.45,9050.55,75.95270078180526,0.06609808102345416,0.9339019189765458,0.06505063398951419
